代数, 变异数, 最优个体时间
581,3,68428.0
582,7,68428.0
583,5,68428.0
584,4,68386.0
585,7,68386.0
586,8,68386.0
587,1,68386.0
588,2,68386.0
589,6,68386.0
590,1,68386.0
591,3,68386.0
592,3,68386.0
593,4,68386.0
594,3,68386.0
595,4,68386.0
596,7,68386.0
597,3,68386.0
598,4,68386.0
599,1,68386.0
600,6,68386.0
601,5,68386.0
602,3,68386.0
603,5,68386.0
604,6,68386.0
605,6,68386.0
606,3,68386.0
607,4,68386.0
608,2,68386.0
609,4,68386.0
610,6,68386.0
611,3,68386.0
612,6,68386.0
613,5,68386.0
614,6,68386.0
615,3,68386.0
616,2,68386.0
617,1,68386.0
618,7,68386.0
619,1,68386.0
620,5,68386.0
621,5,68386.0
622,7,68386.0
623,1,68386.0
624,5,68386.0
625,1,68386.0
626,6,68386.0
627,6,68386.0
628,5,68386.0
629,3,68386.0
630,6,68386.0
631,6,68386.0
632,4,68386.0
633,3,68386.0
634,3,68386.0
635,3,68386.0
636,3,68386.0
637,6,68386.0
638,7,68386.0
639,6,68386.0
640,5,68386.0
641,1,68386.0
642,1,68386.0
643,4,68386.0
644,7,68386.0
645,5,68386.0
646,5,68386.0
647,2,68386.0
648,5,68386.0
649,5,68386.0
650,2,68386.0
651,6,68386.0
652,6,68386.0
653,3,68386.0
654,8,68386.0
655,6,68386.0
656,7,68386.0
657,2,68386.0
658,4,68386.0
659,5,68386.0
660,1,68386.0
661,6,68386.0
662,5,68386.0
663,1,68386.0
664,4,68386.0
665,6,68386.0
666,1,68386.0
667,2,68386.0
668,8,68386.0
669,4,68386.0
670,5,68386.0
671,6,68386.0
672,3,68386.0
673,3,68386.0
674,5,68386.0
675,3,68386.0
676,5,68386.0
677,4,68386.0
678,2,68386.0
679,6,68386.0
680,2,68224.0
681,1,68224.0
682,6,68224.0
683,5,68224.0
684,4,68224.0
685,7,68169.0
686,7,68169.0
687,3,68169.0
688,5,68169.0
689,5,68169.0
690,6,68169.0
691,4,68169.0
692,3,68169.0
693,4,68169.0
694,6,68169.0
695,4,68169.0
696,6,68169.0
697,1,68169.0
698,7,68169.0
699,3,68169.0
700,5,68169.0
701,4,68169.0
702,3,68169.0
703,6,68169.0
704,4,68169.0
705,6,68169.0
706,4,68169.0
707,3,68169.0
708,2,68169.0
709,6,68169.0
710,4,68169.0
711,5,68169.0
712,2,68169.0
713,4,68169.0
714,6,68169.0
715,7,68169.0
716,6,68169.0
717,2,68169.0
718,5,68169.0
719,5,68169.0
720,6,68169.0
721,5,68169.0
722,5,68169.0
723,5,68169.0
724,1,68169.0
725,5,68169.0
726,6,68169.0
727,3,68169.0
728,3,68169.0
729,5,68169.0
730,5,68169.0
731,8,68169.0
732,3,68169.0
733,5,68169.0
734,8,68169.0
735,1,68169.0
736,5,68169.0
737,6,68169.0
738,4,68169.0
739,3,68169.0
740,1,68169.0
741,1,68169.0
742,4,68169.0
743,5,68169.0
744,6,68169.0
745,6,68169.0
746,4,68169.0
747,7,68169.0
748,2,68169.0
749,3,68169.0
750,3,68169.0
751,3,68169.0
752,3,68169.0
753,2,68169.0
754,7,68169.0
755,1,68169.0
756,4,68169.0
757,7,68169.0
758,4,68169.0
759,5,68169.0
760,8,68169.0
761,2,68169.0
762,5,68169.0
763,4,68169.0
764,2,68169.0
765,5,68169.0
766,3,68169.0
767,7,68169.0
768,7,68169.0
769,2,68169.0
770,3,68169.0
771,3,68169.0
772,2,68169.0
773,2,68169.0
774,5,68169.0
775,8,68169.0
776,3,68169.0
777,3,68169.0
778,5,68169.0
779,6,68169.0
780,3,68169.0
781,4,68169.0
782,2,68169.0
783,7,68169.0
784,6,68169.0
785,2,68169.0
786,1,68169.0
787,1,68169.0
788,3,68169.0
789,7,68169.0
790,2,68169.0
791,3,68169.0
792,6,68169.0
793,8,68169.0
794,5,68169.0
795,5,68169.0
796,5,68169.0
797,7,68169.0
798,6,68169.0
799,3,68169.0
800,4,68169.0
801,7,68169.0
802,5,68169.0
803,3,68169.0
804,3,68169.0
805,3,68169.0
806,1,68169.0
807,1,68169.0
808,5,68169.0
809,7,68169.0
810,4,68169.0
811,4,68169.0
812,6,68169.0
813,3,68169.0
814,4,68169.0
815,3,68169.0
816,2,68169.0
817,4,68169.0
818,1,68169.0
819,5,68169.0
820,4,68169.0
821,3,68169.0
822,6,68169.0
823,5,68169.0
824,6,68169.0
825,4,68169.0
826,3,68169.0
827,2,68169.0
828,2,68169.0
829,1,68100.0
830,3,68100.0
831,6,68100.0
832,4,68100.0
833,5,68100.0
834,7,68100.0
835,7,68100.0
836,3,68100.0
837,7,68100.0
838,7,68096.0
839,5,68096.0
840,3,68096.0
841,6,68089.0
